City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Mataura,NZ,2020-10-20 01:17:58,-46.19,168.86,52.0,76,83,13.0
62,Magdagachi,RU,2020-10-20 01:17:58,53.45,125.8,30.06,94,100,8.97
63,Pisco,PE,2020-10-20 01:17:59,-13.7,-76.22,64.4,72,0,14.99
64,Namatanai,PG,2020-10-20 01:17:59,-3.67,152.43,84.76,70,92,1.34
65,San Cristobal,VE,2020-10-20 01:16:01,7.77,-72.22,84.2,58,40,4.7
66,Karema,TZ,2020-10-20 01:17:59,-6.82,30.44,74.88,61,0,3.94
67,Saskylakh,RU,2020-10-20 01:17:59,71.92,114.08,22.46,97,86,4.79
68,Salalah,OM,2020-10-20 01:17:59,17.02,54.09,80.6,51,75,3.36
69,Saint Anthony,US,2020-10-20 01:18:00,45.02,-93.22,34.0,80,90,3.11
70,Kavaratti,IN,2020-10-20 01:18:00,10.57,72.64,81.0,75,79,10.8
71,Dunedin,NZ,2020-10-20 01:18:00,-45.87,170.5,57.0,59,93,17.0
72,Kapaa,US,2020-10-20 01:18:00,22.08,-159.32,84.99,70,40,12.75
73,Amberley,US,2020-10-20 01:18:00,39.2,-84.43,55.99,93,90,0.85
74,Ilulissat,GL,2020-10-20 01:15:26,69.22,-51.1,37.4,89,100,4.7
75,Goderich,CA,2020-10-20 01:18:01,43.75,-81.72,48.0,81,100,9.37
76,Moose Factory,CA,2020-10-20 01:18:01,51.26,-80.61,30.2,86,1,3.36
77,Port Alfred,ZA,2020-10-20 01:18:01,-33.59,26.89,62.06,80,0,21.59
78,Basco,PH,2020-10-20 01:18:01,20.45,121.97,82.92,78,100,34.67
79,Kavieng,PG,2020-10-20 01:15:30,-2.57,150.8,83.86,70,100,2.98
80,Asau,RO,2020-10-20 01:18:01,46.43,26.4,41.0,93,0,1.12
81,Bulungu,CD,2020-10-20 01:18:01,-4.55,18.6,70.83,96,97,2.19
82,Hithadhoo,MV,2020-10-20 01:15:34,-0.6,73.08,82.65,78,71,13.0
83,Kondagaon,IN,2020-10-20 01:18:02,19.6,81.67,69.82,93,50,4.21
84,East London,ZA,2020-10-20 01:15:47,-33.02,27.91,64.15,80,82,20.85
85,Onverwacht,SR,2020-10-20 01:18:02,5.58,-55.18,82.0,89,53,3.0
86,Husavik,IS,2020-10-20 01:15:22,66.04,-17.34,30.2,92,75,3.36
87,Carnarvon,AU,2020-10-20 01:18:02,-24.87,113.63,69.8,73,90,14.99
88,Churapcha,RU,2020-10-20 01:18:02,62.0,132.43,13.96,94,100,5.64
89,Castro,BR,2020-10-20 01:16:29,-24.79,-50.01,61.52,97,6,6.35
90,Yenagoa,NG,2020-10-20 01:18:02,4.92,6.26,74.73,95,95,2.66
91,Chokurdakh,RU,2020-10-20 01:18:03,70.63,147.92,16.16,98,94,6.26
92,Deputatskiy,RU,2020-10-20 01:18:03,69.3,139.9,10.83,95,100,3.71
93,Mar Del Plata,AR,2020-10-20 01:17:20,-38.0,-57.56,54.0,62,0,16.11
94,Muros,ES,2020-10-20 01:18:03,42.78,-9.06,61.0,92,100,8.01
95,New Norfolk,AU,2020-10-20 01:18:03,-42.78,147.06,66.0,61,56,1.01
96,Cherskiy,RU,2020-10-20 01:15:29,68.75,161.3,21.63,94,56,3.94
97,Kirakira,SB,2020-10-20 01:16:23,-10.45,161.92,84.42,74,18,10.0
98,Qaanaaq,GL,2020-10-20 01:18:03,77.48,-69.36,27.5,88,7,5.97
99,Zhigalovo,RU,2020-10-20 01:18:04,54.81,105.16,25.92,89,95,9.95
100,Saint-Philippe,RE,2020-10-20 01:18:04,-21.36,55.77,69.8,60,37,4.7
101,Aykhal,RU,2020-10-20 01:18:04,66.0,111.5,17.6,92,90,7.05
102,Imphal,IN,2020-10-20 01:18:04,24.82,93.95,69.82,90,78,1.39
103,Butaritari,KI,2020-10-20 01:18:04,3.07,172.79,82.51,77,100,10.69
104,Raudeberg,NO,2020-10-20 01:16:35,61.99,5.14,39.0,74,100,11.81
105,Mahebourg,MU,2020-10-20 01:18:04,-20.41,57.7,73.4,78,20,8.05
106,Chepareria,KE,2020-10-20 01:18:05,1.31,35.2,62.71,83,96,1.28
107,Upernavik,GL,2020-10-20 01:18:05,72.79,-56.15,32.81,93,100,8.03
108,Tuktoyaktuk,CA,2020-10-20 01:15:24,69.45,-133.04,23.0,92,90,13.87
109,Alofi,NU,2020-10-20 01:15:46,-19.06,-169.92,78.8,69,18,16.11
110,Karacakoy,TR,2020-10-20 01:18:05,41.4,28.38,66.0,55,75,12.75
111,Balabac,PH,2020-10-20 01:18:05,7.99,117.06,80.31,85,100,12.46
112,Dikson,RU,2020-10-20 01:15:30,73.51,80.55,23.97,95,96,17.27
113,Kyren,RU,2020-10-20 01:18:05,51.68,102.14,22.12,90,87,1.86
114,Kidal,ML,2020-10-20 01:18:06,18.44,1.41,85.3,14,0,9.35
115,Carutapera,BR,2020-10-20 01:18:06,-1.2,-46.02,78.96,81,99,7.2
116,College,US,2020-10-20 01:18:06,64.86,-147.8,21.99,85,90,1.28
117,Cabo San Lucas,MX,2020-10-20 01:14:50,22.89,-109.91,86.0,58,5,6.93
118,Okazaki,JP,2020-10-20 01:18:06,34.95,137.17,66.0,67,99,11.41
119,Ballina,AU,2020-10-20 01:18:06,-28.87,153.57,75.2,64,40,14.99
120,Bethel,US,2020-10-20 01:18:06,41.37,-73.41,55.4,93,1,8.05
121,Bonthe,SL,2020-10-20 01:18:06,7.53,-12.51,78.39,87,100,5.26
122,Saint Cloud,US,2020-10-20 01:18:06,45.56,-94.16,32.0,92,90,3.83
123,Atuona,PF,2020-10-20 01:18:07,-9.8,-139.03,78.57,74,3,18.81
124,Avarua,CK,2020-10-20 01:18:07,-21.21,-159.78,80.6,74,33,4.7
125,Port-Gentil,GA,2020-10-20 01:18:07,-0.72,8.78,78.69,85,100,12.5
126,Kaitangata,NZ,2020-10-20 01:15:32,-46.28,169.85,54.45,51,87,10.54
127,San Quintin,MX,2020-10-20 01:18:07,30.48,-115.95,71.11,73,0,17.31
128,Sursk,RU,2020-10-20 01:18:07,53.08,45.68,36.72,93,7,7.49
129,Rincon,US,2020-10-20 01:18:07,32.3,-81.24,71.6,78,40,6.93
130,Saldanha,ZA,2020-10-20 01:18:07,-33.01,17.94,53.6,76,100,2.24
131,Anzio,IT,2020-10-20 01:18:08,41.49,12.62,57.0,76,0,2.24
132,Hermanus,ZA,2020-10-20 01:18:08,-34.42,19.23,57.99,74,15,4.0
133,Ostrovnoy,RU,2020-10-20 01:18:08,68.05,39.51,35.17,84,100,13.38
134,The Valley,AI,2020-10-20 01:16:42,18.22,-63.06,82.4,69,20,8.05
135,Ancud,CL,2020-10-20 01:18:08,-41.87,-73.82,45.0,86,40,5.82
136,Winfield,US,2020-10-20 01:18:08,37.24,-97.0,50.0,66,90,5.82
137,Siuna,NI,2020-10-20 01:18:08,13.73,-84.78,74.1,93,100,2.66
138,Longyearbyen,SJ,2020-10-20 01:18:09,78.22,15.64,28.4,63,75,13.87
139,Tuy Hoa,VN,2020-10-20 01:15:50,13.08,109.3,79.38,86,100,4.52
140,Jardim,BR,2020-10-20 01:18:09,-21.48,-56.14,75.09,78,14,4.41
141,Iralaya,HN,2020-10-20 01:18:08,15.0,-83.23,80.01,85,100,8.08
142,La Ronge,CA,2020-10-20 01:18:09,55.1,-105.28,26.6,58,75,5.82
143,Kulhudhuffushi,MV,2020-10-20 01:18:09,6.62,73.07,81.59,79,3,12.95
144,Batagay-Alyta,RU,2020-10-20 01:18:09,67.8,130.41,14.13,91,100,2.55
145,Auki,SB,2020-10-20 01:16:00,-8.77,160.7,84.43,75,77,3.69
146,Bubaque,GW,2020-10-20 01:18:10,11.28,-15.83,82.49,88,1,8.63
147,Smolenskoye,RU,2020-10-20 01:18:10,52.3,85.08,36.52,75,100,4.43
148,Devonport,AU,2020-10-20 01:18:10,-41.17,146.35,57.0,69,11,5.01
149,Constitucion,CL,2020-10-20 01:16:40,-35.33,-72.42,54.45,59,98,13.73
150,Arraial Do Cabo,BR,2020-10-20 01:18:10,-22.97,-42.03,73.4,78,20,18.34
151,Mackay,AU,2020-10-20 01:18:10,-21.15,149.2,84.99,57,90,11.41
152,Sompeta,IN,2020-10-20 01:18:10,18.93,84.6,79.21,81,49,6.76
153,Bud,US,2020-10-20 01:18:11,39.45,-86.18,48.2,100,90,4.7
154,Sao Filipe,CV,2020-10-20 01:18:11,14.9,-24.5,82.51,69,24,3.15
155,Mogzon,RU,2020-10-20 01:18:11,51.74,111.96,28.89,91,100,14.74
