City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
83,Bontang,ID,0.13,117.5,87.39,64,93,6.67,overcast clouds
84,Abha,SA,18.22,42.51,57.2,19,82,4.7,broken clouds
85,Ust-Kuyga,RU,70.02,135.6,13.77,95,100,5.48,light snow
86,Bambous Virieux,MU,-20.34,57.76,75.2,73,40,14.99,shower rain
87,Svetlyy,RU,54.67,20.13,53.6,81,73,13.42,broken clouds
88,Pueblo Nuevo,MX,23.38,-105.38,59.31,93,33,4.23,light rain
89,Porto-Vecchio,FR,41.59,9.28,66.2,88,75,12.75,broken clouds
90,Bara,NG,10.37,10.73,72.66,82,20,3.13,few clouds
91,Tasiilaq,GL,65.61,-37.64,30.2,80,100,2.24,overcast clouds
92,Castro,BR,-24.79,-50.01,57.85,96,24,9.15,few clouds
93,Chokurdakh,RU,70.63,147.92,11.98,94,100,4.23,overcast clouds
94,Mehamn,NO,71.04,27.85,29.66,94,0,7.05,clear sky
95,Providencia,MX,28.72,-111.58,78.01,90,0,9.8,clear sky
96,Pyapon,MM,16.28,95.68,82.69,83,61,12.44,moderate rain
97,Salalah,OM,17.02,54.09,77.0,73,40,3.36,scattered clouds
98,Talnakh,RU,69.49,88.4,14.0,85,90,11.18,light snow
99,Dikson,RU,73.51,80.55,24.39,94,99,12.75,overcast clouds
100,Tura,IN,25.52,90.22,78.51,86,28,1.28,light rain
101,Longyearbyen,SJ,78.22,15.64,23.0,73,75,5.82,broken clouds
102,Redmond,US,47.67,-122.12,45.0,91,0,1.79,clear sky
103,Belfast,GB,54.58,-5.93,48.2,93,99,10.29,overcast clouds
104,Pisco,PE,-13.7,-76.22,63.0,82,0,17.22,clear sky
105,Matadi,CD,-5.82,13.45,77.38,80,100,4.16,overcast clouds
106,Haapiti,PF,-17.57,-149.87,82.4,69,75,2.24,broken clouds
107,Atuona,PF,-9.8,-139.03,77.86,73,4,16.4,clear sky
108,Auki,SB,-8.77,160.7,84.24,71,80,4.12,moderate rain
109,Hilo,US,19.73,-155.09,82.4,58,1,8.05,clear sky
110,Ponta Do Sol,PT,32.67,-17.1,62.6,63,20,8.05,few clouds
111,Albany,US,42.6,-73.97,63.0,82,98,2.64,overcast clouds
112,Cherskiy,RU,68.75,161.3,22.93,94,0,9.73,clear sky
113,Ribeira Grande,PT,38.52,-28.7,63.34,70,97,14.83,overcast clouds
114,Rio Claro,BR,-22.41,-47.56,67.19,70,0,8.01,clear sky
115,Sistranda,NO,63.73,8.83,30.2,100,20,5.82,snow
116,Mopipi,BW,-21.18,24.88,69.58,61,0,19.48,clear sky
117,Souillac,MU,-20.52,57.52,75.2,73,40,14.99,shower rain
118,Saint-Denis,FR,48.92,2.33,59.0,93,90,3.36,overcast clouds
119,Goderich,CA,43.75,-81.72,55.0,80,25,11.9,scattered clouds
120,Bethel,US,41.37,-73.41,64.99,100,90,3.36,mist
