City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
83,Okha,RU,53.57,142.95,45.84,91,100,38.99,moderate rain
84,Longyearbyen,SJ,78.22,15.64,21.2,79,75,4.7,broken clouds
85,Provideniya,RU,64.38,-173.3,34.39,88,99,12.57,overcast clouds
86,Yakeshi,CN,49.28,120.73,19.31,95,0,4.12,clear sky
87,Pindiga,NG,9.98,10.93,74.1,58,94,4.05,overcast clouds
88,Mount Gambier,AU,-37.83,140.77,55.4,54,75,21.92,broken clouds
89,Pyshma,RU,56.95,63.25,24.26,91,0,6.58,clear sky
90,Rikitea,PF,-23.12,-134.97,74.71,77,68,8.75,broken clouds
91,Hovd,MN,48.01,91.64,36.72,68,100,4.18,overcast clouds
92,Picota,PE,-6.92,-76.33,80.6,69,20,3.36,few clouds
93,Meulaboh,ID,4.14,96.13,77.76,85,99,3.76,light rain
94,La Rioja,ES,42.25,-2.5,53.01,93,0,2.24,clear sky
95,Mahebourg,MU,-20.41,57.7,73.4,69,20,8.05,few clouds
96,Port Elizabeth,ZA,-33.92,25.57,68.0,88,75,18.34,broken clouds
97,Caravelas,BR,-17.71,-39.25,73.02,90,97,6.78,light rain
98,Mnogovershinnyy,RU,53.94,139.92,41.02,100,100,23.85,moderate rain
99,Itoman,JP,26.12,127.67,73.4,49,40,13.87,scattered clouds
100,Kahului,US,20.89,-156.47,89.6,49,40,10.29,scattered clouds
101,Gazimurskiy Zavod,RU,51.55,118.33,26.06,93,0,1.21,clear sky
102,Pringsewu,ID,-5.36,104.97,74.25,90,100,2.8,overcast clouds
103,Canon City,US,38.44,-105.24,35.01,92,90,4.0,overcast clouds
104,Rio Gallegos,AR,-51.62,-69.22,50.0,76,0,5.82,clear sky
105,Zeya,RU,53.75,127.27,19.02,89,0,3.85,clear sky
106,Kununurra,AU,-15.77,128.73,87.8,74,51,9.17,broken clouds
107,Marsh Harbour,BS,26.54,-77.06,79.23,76,46,17.0,scattered clouds
108,Atbasar,KZ,51.8,68.33,23.16,87,0,6.2,clear sky
109,Vaini,TO,-21.2,-175.2,78.8,74,75,10.29,broken clouds
110,Lasa,IT,46.62,10.7,52.0,100,90,3.36,fog
111,Codrington,AU,-38.27,141.97,53.1,80,78,17.63,light rain
112,Nioro,GM,13.35,-15.75,79.07,75,1,5.35,clear sky
113,Agadir,MA,30.42,-9.6,62.6,82,0,4.7,clear sky
114,Beidao,CN,34.57,105.89,50.45,68,90,2.86,overcast clouds
115,Tuktoyaktuk,CA,69.45,-133.04,24.8,92,90,8.05,overcast clouds
116,Coahuayana,MX,18.73,-103.68,82.4,78,40,11.41,scattered clouds
117,Necochea,AR,-38.55,-58.74,55.99,86,29,1.99,scattered clouds
118,Nemuro,JP,43.32,145.57,54.16,68,0,20.09,clear sky
119,Port Alfred,ZA,-33.59,26.89,68.14,85,70,16.96,broken clouds
120,Kavieng,PG,-2.57,150.8,84.61,63,36,3.91,scattered clouds
121,Kirakira,SB,-10.45,161.92,86.16,66,26,6.4,scattered clouds
122,Grand Gaube,MU,-20.01,57.66,73.4,69,20,8.05,few clouds
123,Skjervoy,NO,70.03,20.97,39.06,93,100,26.66,moderate rain
124,Belaya Gora,RU,68.53,146.42,6.84,88,24,2.93,few clouds
125,Gubkin,RU,51.28,37.55,55.78,76,100,10.04,overcast clouds
126,Mastic Beach,US,40.77,-72.85,62.6,82,90,8.05,overcast clouds
127,Pinega,RU,64.7,43.39,30.36,98,100,6.38,overcast clouds
128,Batken,KG,39.83,71.0,26.42,94,68,0.78,broken clouds
129,Faanui,PF,-16.48,-151.75,79.0,73,19,8.88,few clouds
130,Sal Rei,CV,16.18,-22.92,77.0,78,40,19.46,scattered clouds
131,Kolokani,ML,13.57,-8.03,81.01,30,22,5.66,few clouds
132,Pevek,RU,69.7,170.31,26.87,93,81,10.45,broken clouds
133,Iznik,TR,40.43,29.72,51.8,93,0,3.51,mist
134,Yellowknife,CA,62.46,-114.35,26.6,58,20,6.93,few clouds
135,Wajima,JP,37.4,136.9,50.0,87,75,1.12,shower rain
136,Eureka,US,40.8,-124.16,66.99,58,0,4.0,clear sky
137,Hornepayne,CA,49.21,-84.77,27.88,94,100,7.27,overcast clouds
138,Farmington,US,36.73,-108.22,73.0,14,1,9.17,clear sky
139,Gimli,CA,50.63,-96.99,30.0,98,91,10.0,overcast clouds
140,Cartagena,CO,10.4,-75.51,84.2,94,40,4.7,scattered clouds
141,Salalah,OM,17.02,54.09,71.6,37,0,4.7,clear sky
142,Mar Del Plata,AR,-38.0,-57.56,59.0,93,75,3.36,broken clouds
143,Udimskiy,RU,61.14,45.91,35.78,99,100,6.42,moderate rain
144,Acapulco,MX,16.86,-99.89,86.0,74,75,9.17,broken clouds
145,Hofn,IS,64.25,-15.21,43.23,85,90,11.1,overcast clouds
146,Khatanga,RU,71.97,102.5,13.06,96,100,10.38,light snow
147,Klaksvik,FO,62.23,-6.59,42.8,100,2,9.17,clear sky
148,Auchterarder,GB,56.3,-3.71,43.0,96,67,1.01,broken clouds
149,Monrovia,LR,6.3,-10.8,75.2,94,75,6.42,thunderstorm
150,Tuatapere,NZ,-46.13,167.68,70.0,52,97,13.0,overcast clouds
151,Elbrus,RU,43.26,42.64,45.91,56,0,4.92,clear sky
152,Nikolskoye,RU,59.7,30.79,37.4,75,0,8.95,clear sky
153,Victoria,HK,22.29,114.16,73.99,46,100,1.01,overcast clouds
154,Zwedru,LR,6.07,-8.13,71.96,97,95,2.57,light rain
155,Nanortalik,GL,60.14,-45.24,34.25,87,98,4.38,overcast clouds
156,Dunedin,NZ,-45.87,170.5,64.02,49,63,4.9,broken clouds
157,Omsukchan,RU,62.53,155.8,27.9,91,15,3.62,few clouds
158,Buala,SB,-8.14,159.59,85.57,66,27,5.73,scattered clouds
159,Ugoofaaru,MV,5.67,73.0,81.3,80,82,14.09,light rain
160,Mehamn,NO,71.04,27.85,37.38,93,100,28.86,light rain
161,Ilulissat,GL,69.22,-51.1,21.2,62,95,4.7,overcast clouds
162,Dingle,PH,11.0,122.67,77.11,92,100,8.32,overcast clouds
